   1.1578 |    1.4235 |    1.7778 |    2.2858 |    3.0963 |    4.6373 |    8.8601 |   80.7084 |  -11.3850 |   -5.2675 |  
   1.4235 |    1.7778 |    2.2858 |    3.0963 |    4.6373 |    8.8601 |   80.7084 |  -11.3850 |   -5.2675 |   -3.3805 |  
   1.7778 |    2.2858 |    3.0963 |    4.6373 |    8.8601 |   80.7084 |  -11.3850 |   -5.2675 |   -3.3805 |   -2.4494 |  
   2.2858 |    3.0963 |    4.6373 |    8.8601 |   80.7084 |  -11.3850 |   -5.2675 |   -3.3805 |   -2.4494 |   -1.8856 |  
   3.0963 |    4.6373 |    8.8601 |   80.7084 |  -11.3850 |   -5.2675 |   -3.3805 |   -2.4494 |   -1.8856 |   -1.5013 |  
   4.6373 |    8.8601 |   80.7084 |  -11.3850 |   -5.2675 |   -3.3805 |   -2.4494 |   -1.8856 |   -1.5013 |   -1.2175 |  
   8.8601 |   80.7084 |  -11.3850 |   -5.2675 |   -3.3805 |   -2.4494 |   -1.8856 |   -1.5013 |   -1.2175 |   -0.9956 |  
  80.7084 |  -11.3850 |   -5.2675 |   -3.3805 |   -2.4494 |   -1.8856 |   -1.5013 |   -1.2175 |   -0.9956 |   -0.8139 |  
 -11.3850 |   -5.2675 |   -3.3805 |   -2.4494 |   -1.8856 |   -1.5013 |   -1.2175 |   -0.9956 |   -0.8139 |   -0.6597 |  
  -5.2675 |   -3.3805 |   -2.4494 |   -1.8856 |   -1.5013 |   -1.2175 |   -0.9956 |   -0.8139 |   -0.6597 |   -0.5247 |  
  -3.3805 |   -2.4494 |   -1.8856 |   -1.5013 |   -1.2175 |   -0.9956 |   -0.8139 |   -0.6597 |   -0.5247 |   -0.4031 |  
